Number,exchange,symbolHead,CNname,CRMName,group,Margin,TradeBarTime,TradingTime,PriceLimit1,Margin1,PriceLimit2,Margin2,PriceLimit3,Margin3,ContractSize,PriceMinMove,IfFeeJ,feeOpenJ,feeOpenS,feeCloseTodayJ,feeCloseTodayS,LastTradingDay,30minInterval
37,DCE,EB,苯乙烯,苯乙烯,石化煤化,0.12,"21:01:00-22:59:00,09:01:00-10:14:00,10:31:00-11:29:00,13:31:00-14:59:00","21:00:00-23:00:00,09:00:00-10:15:00,10:30:00-11:30:00,13:30:00-15:00:00",0.1,0.15,0.13,0.17,0.15,0.17,5,1,0,0,6,0,6,-14,"21:00:00-21:30:00,21:30:00-22:00:00,22:00:00-22:30:00,22:30:00-23:00:00,09:00:00-09:30:00,09:30:00-10:00:00,10:00:00-10:45:00,10:45:00-11:15:00,11:15:00-13:45:00,13:45:00-14:15:00,14:15:00-14:45:00,14:45:00-15:00:00"
38,DCE,PG,LPG,液化石油气,能源,0.11,"21:01:00-22:59:00,09:01:00-10:14:00,10:31:00-11:29:00,13:31:00-14:59:00","21:00:00-23:00:00,09:00:00-10:15:00,10:30:00-11:30:00,13:30:00-15:00:00",0.08,0.13,0.11,0.15,0.13,0.15,20,1,0,0,12,0,12,-24,"21:00:00-21:30:00,21:30:00-22:00:00,22:00:00-22:30:00,22:30:00-23:00:00,09:00:00-09:30:00,09:30:00-10:00:00,10:00:00-10:45:00,10:45:00-11:15:00,11:15:00-13:45:00,13:45:00-14:15:00,14:15:00-14:45:00,14:45:00-15:00:00"
39,DCE,LH,生猪,生猪,其他,0.15,"09:01:00-10:14:00,10:31:00-11:29:00,13:31:00-14:59:00","09:00:00-10:15:00,10:30:00-11:30:00,13:30:00-15:00:00",0.08,0.15,0.11,0.15,0.13,0.15,16,5,1,0.0004,0,0.0008,0,-24,"09:00:00-09:30:00,09:30:00-10:00:00,10:00:00-10:45:00,10:45:00-11:15:00,11:15:00-13:45:00,13:45:00-14:15:00,14:15:00-14:45:00,14:45:00-15:00:00"
40,CZCE,CF,棉花,一号棉花,纺织,0.07,"21:01:00-22:59:00,09:01:00-10:14:00,10:31:00-11:29:00,13:31:00-14:59:00","21:00:00-23:00:00,09:00:00-10:15:00,10:30:00-11:30:00,13:30:00-15:00:00",0.06,0.11,0.09,0.14,0.12,0.14,5,5,0,0,8.6,0,0,-33,"21:00:00-21:30:00,21:30:00-22:00:00,22:00:00-22:30:00,22:30:00-23:00:00,09:00:00-09:30:00,09:30:00-10:00:00,10:00:00-10:45:00,10:45:00-11:15:00,11:15:00-13:45:00,13:45:00-14:15:00,14:15:00-14:45:00,14:45:00-15:00:00"
41,CZCE,SR,白糖,白砂糖,其他,0.07,"21:01:00-22:59:00,09:01:00-10:14:00,10:31:00-11:29:00,13:31:00-14:59:00","21:00:00-23:00:00,09:00:00-10:15:00,10:30:00-11:30:00,13:30:00-15:00:00",0.06,0.11,0.09,0.14,0.12,0.14,10,1,0,0,6,0,0,-40,"21:00:00-21:30:00,21:30:00-22:00:00,22:00:00-22:30:00,22:30:00-23:00:00,09:00:00-09:30:00,09:30:00-10:00:00,10:00:00-10:45:00,10:45:00-11:15:00,11:15:00-13:45:00,13:45:00-14:15:00,14:15:00-14:45:00,14:45:00-15:00:00"
42,CZCE,TA,PTA,精对苯二甲酸,纺织,0.06,"21:01:00-22:59:00,09:01:00-10:14:00,10:31:00-11:29:00,13:31:00-14:59:00","21:00:00-23:00:00,09:00:00-10:15:00,10:30:00-11:30:00,13:30:00-15:00:00",0.05,0.1,0.08,0.13,0.11,0.13,5,2,0,0,6,0,0,-30,"21:00:00-21:30:00,21:30:00-22:00:00,22:00:00-22:30:00,22:30:00-23:00:00,09:00:00-09:30:00,09:30:00-10:00:00,10:00:00-10:45:00,10:45:00-11:15:00,11:15:00-13:45:00,13:45:00-14:15:00,14:15:00-14:45:00,14:45:00-15:00:00"
43,CZCE,MA,甲醇,甲醇MA,石化煤化,0.07,"21:01:00-22:59:00,09:01:00-10:14:00,10:31:00-11:29:00,13:31:00-14:59:00","21:00:00-23:00:00,09:00:00-10:15:00,10:30:00-11:30:00,13:30:00-15:00:00",0.06,0.11,0.09,0.14,0.12,0.14,10,1,0,0,4,0,4,-30,"21:00:00-21:30:00,21:30:00-22:00:00,22:00:00-22:30:00,22:30:00-23:00:00,09:00:00-09:30:00,09:30:00-10:00:00,10:00:00-10:45:00,10:45:00-11:15:00,11:15:00-13:45:00,13:45:00-14:15:00,14:15:00-14:45:00,14:45:00-15:00:00"
44,CZCE,PM,普麦,普通小麦,稻米谷物,0.06,"09:01:00-10:14:00,10:31:00-11:29:00,13:31:00-14:59:00","09:00:00-10:15:00,10:30:00-11:30:00,13:30:00-15:00:00",0.05,0.1,0.08,0.13,0.11,0.13,50,1,0,0,10,0,10,-40,"09:00:00-09:30:00,09:30:00-10:00:00,10:00:00-10:45:00,10:45:00-11:15:00,11:15:00-13:45:00,13:45:00-14:15:00,14:15:00-14:45:00,14:45:00-15:00:00"
45,CZCE,RI,早籼稻,早籼稻,稻米谷物,0.06,"09:01:00-10:14:00,10:31:00-11:29:00,13:31:00-14:59:00","09:00:00-10:15:00,10:30:00-11:30:00,13:30:00-15:00:00",0.05,0.1,0.08,0.13,0.11,0.13,20,1,0,0,5,0,5,-40,"09:00:00-09:30:00,09:30:00-10:00:00,10:00:00-10:45:00,10:45:00-11:15:00,11:15:00-13:45:00,13:45:00-14:15:00,14:15:00-14:45:00,14:45:00-15:00:00"
46,CZCE,OI,菜籽油,菜籽油,油脂油料,0.06,"21:01:00-22:59:00,09:01:00-10:14:00,10:31:00-11:29:00,13:31:00-14:59:00","21:00:00-23:00:00,09:00:00-10:15:00,10:30:00-11:30:00,13:30:00-15:00:00",0.05,0.1,0.08,0.13,0.11,0.13,10,1,0,0,4,0,0,-24,"21:00:00-21:30:00,21:30:00-22:00:00,22:00:00-22:30:00,22:30:00-23:00:00,09:00:00-09:30:00,09:30:00-10:00:00,10:00:00-10:45:00,10:45:00-11:15:00,11:15:00-13:45:00,13:45:00-14:15:00,14:15:00-14:45:00,14:45:00-15:00:00"
47,CZCE,FG,玻璃,玻璃,建材,0.07,"21:01:00-22:59:00,09:01:00-10:14:00,10:31:00-11:29:00,13:31:00-14:59:00","21:00:00-23:00:00,09:00:00-10:15:00,10:30:00-11:30:00,13:30:00-15:00:00",0.06,0.11,0.09,0.14,0.12,0.14,20,1,0,0,12,0,12,-30,"21:00:00-21:30:00,21:30:00-22:00:00,22:00:00-22:30:00,22:30:00-23:00:00,09:00:00-09:30:00,09:30:00-10:00:00,10:00:00-10:45:00,10:45:00-11:15:00,11:15:00-13:45:00,13:45:00-14:15:00,14:15:00-14:45:00,14:45:00-15:00:00"
48,CZCE,RM,菜粕,菜籽粕,油脂油料,0.06,"21:01:00-22:59:00,09:01:00-10:14:00,10:31:00-11:29:00,13:31:00-14:59:00","21:00:00-23:00:00,09:00:00-10:15:00,10:30:00-11:30:00,13:30:00-15:00:00",0.05,0.1,0.08,0.13,0.11,0.13,10,1,0,0,3,0,0,-30,"21:00:00-21:30:00,21:30:00-22:00:00,22:00:00-22:30:00,22:30:00-23:00:00,09:00:00-09:30:00,09:30:00-10:00:00,10:00:00-10:45:00,10:45:00-11:15:00,11:15:00-13:45:00,13:45:00-14:15:00,14:15:00-14:45:00,14:45:00-15:00:00"
49,CZCE,ZC,动力煤,动力煤ZC,能源,0.08,"21:01:00-22:59:00,09:01:00-10:14:00,10:31:00-11:29:00,13:31:00-14:59:00","21:00:00-23:00:00,09:00:00-10:15:00,10:30:00-11:30:00,13:30:00-15:00:00",0.06,0.11,0.09,0.14,0.12,0.14,100,0.2,0,0,60,0,60,-24,"21:00:00-21:30:00,21:30:00-22:00:00,22:00:00-22:30:00,22:30:00-23:00:00,09:00:00-09:30:00,09:30:00-10:00:00,10:00:00-10:45:00,10:45:00-11:15:00,11:15:00-13:45:00,13:45:00-14:15:00,14:15:00-14:45:00,14:45:00-15:00:00"
50,CZCE,CY,棉纱,棉纱,纺织,0.07,"21:01:00-22:59:00,09:01:00-10:14:00,10:31:00-11:29:00,13:31:00-14:59:00","21:00:00-23:00:00,09:00:00-10:15:00,10:30:00-11:30:00,13:30:00-15:00:00",0.06,0.11,0.09,0.14,0.12,0.14,5,5,0,0,8,0,0,-40,"21:00:00-21:30:00,21:30:00-22:00:00,22:00:00-22:30:00,22:30:00-23:00:00,09:00:00-09:30:00,09:30:00-10:00:00,10:00:00-10:45:00,10:45:00-11:15:00,11:15:00-13:45:00,13:45:00-14:15:00,14:15:00-14:45:00,14:45:00-15:00:00"
51,CZCE,SA,纯碱,纯碱,建材,0.07,"21:01:00-22:59:00,09:01:00-10:14:00,10:31:00-11:29:00,13:31:00-14:59:00","21:00:00-23:00:00,09:00:00-10:15:00,10:30:00-11:30:00,13:30:00-15:00:00",0.06,0.11,0.09,0.14,0.12,0.14,20,1,0,0,7,0,0,-30,"21:00:00-21:30:00,21:30:00-22:00:00,22:00:00-22:30:00,22:30:00-23:00:00,09:00:00-09:30:00,09:30:00-10:00:00,10:00:00-10:45:00,10:45:00-11:15:00,11:15:00-13:45:00,13:45:00-14:15:00,14:15:00-14:45:00,14:45:00-15:00:00"
52,CZCE,AP,苹果,鲜苹果,其他,0.08,"09:01:00-10:14:00,10:31:00-11:29:00,13:31:00-14:59:00","09:00:00-10:15:00,10:30:00-11:30:00,13:30:00-15:00:00",0.06,0.11,0.09,0.14,0.12,0.14,10,1,0,0,10,0,40,-30,"09:00:00-09:30:00,09:30:00-10:00:00,10:00:00-10:45:00,10:45:00-11:15:00,11:15:00-13:45:00,13:45:00-14:15:00,14:15:00-14:45:00,14:45:00-15:00:00"
53,CZCE,CJ,红枣,红枣,其他,0.07,"09:01:00-10:14:00,10:31:00-11:29:00,13:31:00-14:59:00","09:00:00-10:15:00,10:30:00-11:30:00,13:30:00-15:00:00",0.05,0.1,0.08,0.13,0.11,0.13,5,5,0,0,6,0,0,-40,"09:00:00-09:30:00,09:30:00-10:00:00,10:00:00-10:45:00,10:45:00-11:15:00,11:15:00-13:45:00,13:45:00-14:15:00,14:15:00-14:45:00,14:45:00-15:00:00"
54,CZCE,UR,尿素,尿素,石化煤化,0.05,"09:01:00-10:14:00,10:31:00-11:29:00,13:31:00-14:59:00","09:00:00-10:15:00,10:30:00-11:30:00,13:30:00-15:00:00",0.04,0.09,0.07,0.12,0.1,0.12,20,1,0,0,10,0,10,-24,"09:00:00-09:30:00,09:30:00-10:00:00,10:00:00-10:45:00,10:45:00-11:15:00,11:15:00-13:45:00,13:45:00-14:15:00,14:15:00-14:45:00,14:45:00-15:00:00"
55,CZCE,JR,粳稻,粳稻谷,稻米谷物,0.06,"09:01:00-10:14:00,10:31:00-11:29:00,13:31:00-14:59:00","09:00:00-10:15:00,10:30:00-11:30:00,13:30:00-15:00:00",0.05,0.1,0.08,0.13,0.11,0.13,20,1,0,0,6,0,6,-40,"09:00:00-09:30:00,09:30:00-10:00:00,10:00:00-10:45:00,10:45:00-11:15:00,11:15:00-13:45:00,13:45:00-14:15:00,14:15:00-14:45:00,14:45:00-15:00:00"
56,CZCE,LR,晚籼稻,晚籼稻,稻米谷物,0.06,"09:01:00-10:14:00,10:31:00-11:29:00,13:31:00-14:59:00","09:00:00-10:15:00,10:30:00-11:30:00,13:30:00-15:00:00",0.05,0.1,0.08,0.13,0.11,0.13,20,1,0,0,6,0,6,-40,"09:00:00-09:30:00,09:30:00-10:00:00,10:00:00-10:45:00,10:45:00-11:15:00,11:15:00-13:45:00,13:45:00-14:15:00,14:15:00-14:45:00,14:45:00-15:00:00"
57,CZCE,SF,硅铁,硅铁,黑色,0.07,"09:01:00-10:14:00,10:31:00-11:29:00,13:31:00-14:59:00","09:00:00-10:15:00,10:30:00-11:30:00,13:30:00-15:00:00",0.06,0.11,0.09,0.14,0.12,0.14,5,2,0,0,3,0,0,-24,"09:00:00-09:30:00,09:30:00-10:00:00,10:00:00-10:45:00,10:45:00-11:15:00,11:15:00-13:45:00,13:45:00-14:15:00,14:15:00-14:45:00,14:45:00-15:00:00"
58,CZCE,SM,锰硅,锰硅,黑色,0.07,"09:01:00-10:14:00,10:31:00-11:29:00,13:31:00-14:59:00","09:00:00-10:15:00,10:30:00-11:30:00,13:30:00-15:00:00",0.06,0.11,0.09,0.14,0.12,0.14,5,2,0,0,3,0,0,-24,"09:00:00-09:30:00,09:30:00-10:00:00,10:00:00-10:45:00,10:45:00-11:15:00,11:15:00-13:45:00,13:45:00-14:15:00,14:15:00-14:45:00,14:45:00-15:00:00"
59,CZCE,WH,强麦,优质强筋小麦,稻米谷物,0.07,"09:01:00-10:14:00,10:31:00-11:29:00,13:31:00-14:59:00","09:00:00-10:15:00,10:30:00-11:30:00,13:30:00-15:00:00",0.05,0.1,0.08,0.13,0.11,0.13,20,1,0,0,10,0,10,-40,"09:00:00-09:30:00,09:30:00-10:00:00,10:00:00-10:45:00,10:45:00-11:15:00,11:15:00-13:45:00,13:45:00-14:15:00,14:15:00-14:45:00,14:45:00-15:00:00"
60,CZCE,RS,菜籽,油菜籽,油脂油料,0.2,"09:01:00-10:14:00,10:31:00-11:29:00,13:31:00-14:59:00","09:00:00-10:15:00,10:30:00-11:30:00,13:30:00-15:00:00",0.1,0.2,0.13,0.2,0.16,0.2,10,1,0,0,4,0,4,-40,"09:00:00-09:30:00,09:30:00-10:00:00,10:00:00-10:45:00,10:45:00-11:15:00,11:15:00-13:45:00,13:45:00-14:15:00,14:15:00-14:45:00,14:45:00-15:00:00"
61,CZCE,PF,短纤,短纤,纺织,0.07,"21:01:00-22:59:00,09:01:00-10:14:00,10:31:00-11:29:00,13:31:00-14:59:00","21:00:00-23:00:00,09:00:00-10:15:00,10:30:00-11:30:00,13:30:00-15:00:00",0.06,0.11,0.09,0.14,0.12,0.14,5,2,0,0,6,0,6,-24,"21:00:00-21:30:00,21:30:00-22:00:00,22:00:00-22:30:00,22:30:00-23:00:00,09:00:00-09:30:00,09:30:00-10:00:00,10:00:00-10:45:00,10:45:00-11:15:00,11:15:00-13:45:00,13:45:00-14:15:00,14:15:00-14:45:00,14:45:00-15:00:00"
62,CZCE,PK,花生,花生仁,油脂油料,0.08,"09:01:00-10:14:00,10:31:00-11:29:00,13:31:00-14:59:00","09:00:00-10:15:00,10:30:00-11:30:00,13:30:00-15:00:00",0.07,0.12,0.1,0.15,0.13,0.15,5,2,0,0,8,0,8,-40,"09:00:00-09:30:00,09:30:00-10:00:00,10:00:00-10:45:00,10:45:00-11:15:00,11:15:00-13:45:00,13:45:00-14:15:00,14:15:00-14:45:00,14:45:00-15:00:00"
63,CZCE,PX,对二甲苯,对二甲苯,石化煤化,0.12,"21:01:00-22:59:00,09:01:00-10:14:00,10:31:00-11:29:00,13:31:00-14:59:00","21:00:00-23:00:00,09:00:00-10:15:00,10:30:00-11:30:00,13:30:00-15:00:00",0.14,0.1,0.16,0.13,0.16,0.13,5,2,1,0.0001,0,0.0001,0,-30,"21:00:00-21:30:00,21:30:00-22:00:00,22:00:00-22:30:00,22:30:00-23:00:00,09:00:00-09:30:00,09:30:00-10:00:00,10:00:00-10:45:00,10:45:00-11:15:00,11:15:00-13:45:00,13:45:00-14:15:00,14:15:00-14:45:00,14:45:00-15:00:00"
64,CZCE,SH,烧碱,烧碱,石化煤化,0.12,"21:01:00-22:59:00,09:01:00-10:14:00,10:31:00-11:29:00,13:31:00-14:59:00","21:00:00-23:00:00,09:00:00-10:15:00,10:30:00-11:30:00,13:30:00-15:00:00",0.14,0.1,0.16,0.13,0.16,0.13,30,1,1,0.0001,0,0.0001,0,-30,"21:00:00-21:30:00,21:30:00-22:00:00,22:00:00-22:30:00,22:30:00-23:00:00,09:00:00-09:30:00,09:30:00-10:00:00,10:00:00-10:45:00,10:45:00-11:15:00,11:15:00-13:45:00,13:45:00-14:15:00,14:15:00-14:45:00,14:45:00-15:00:00"
65,CFFEX,IF,沪深300,沪深300指数,股票指数,0.12,"09:31:00-11:29:00,13:01:00-14:59:00","09:30:00-11:30:00,13:00:00-15:00:00",0.1,0.11,0.1,0.11,0.1,0.11,300,0.2,1,0.000046,0,0.00069,0,11,"09:30:00-10:00:00,10:00:00-10:30:00,10:30:00-11:00:00,11:00:00-11:30:00,13:00:00-13:30:00,13:30:00-14:00:00,14:00:00-14:30:00,14:30:00-15:00:00"
66,CFFEX,IH,上证50,上证50指数,股票指数,0.12,"09:31:00-11:29:00,13:01:00-14:59:00","09:30:00-11:30:00,13:00:00-15:00:00",0.1,0.11,0.1,0.11,0.1,0.11,300,0.2,1,0.000046,0,0.00069,0,11,"09:30:00-10:00:00,10:00:00-10:30:00,10:30:00-11:00:00,11:00:00-11:30:00,13:00:00-13:30:00,13:30:00-14:00:00,14:00:00-14:30:00,14:30:00-15:00:00"
67,CFFEX,IC,中证500,中证500指数,股票指数,0.14,"09:31:00-11:29:00,13:01:00-14:59:00","09:30:00-11:30:00,13:00:00-15:00:00",0.1,0.13,0.1,0.13,0.1,0.13,200,0.2,1,0.000046,0,0.00069,0,11,"09:30:00-10:00:00,10:00:00-10:30:00,10:30:00-11:00:00,11:00:00-11:30:00,13:00:00-13:30:00,13:30:00-14:00:00,14:00:00-14:30:00,14:30:00-15:00:00"
68,CFFEX,IM,中证1000,中证1000指数,股票指数,0.15,"09:31:00-11:29:00,13:01:00-14:59:00","09:30:00-11:30:00,13:00:00-15:00:00",0.1,0.13,0.1,0.13,0.1,0.13,200,0.2,1,0.000046,0,0.00069,0,11,"09:30:00-10:00:00,10:00:00-10:30:00,10:30:00-11:00:00,11:00:00-11:30:00,13:00:00-13:30:00,13:30:00-14:00:00,14:00:00-14:30:00,14:30:00-15:00:00"
69,CFFEX,MO,中证1000指数期权,中证1000指数期权,股票指数,0.15,"09:31:00-11:29:00,13:01:00-14:59:00","09:30:00-11:30:00,13:00:00-15:00:00",0.1,0.11,0.1,0.11,0.1,0.11,100,0.2,1,0,15,0,15,11,"09:30:00-10:00:00,10:00:00-10:30:00,10:30:00-11:00:00,11:00:00-11:30:00,13:00:00-13:30:00,13:30:00-14:00:00,14:00:00-14:30:00,14:30:00-15:00:00"
70,CFFEX,HO,上证50指数期权,沪深300指数期权,股票指数,0.12,"09:31:00-11:29:00,13:01:00-14:59:00","09:30:00-11:30:00,13:00:00-15:00:00",0.1,0.11,0.1,0.11,0.1,0.11,100,0.2,0,0,30,0,30,11,"09:30:00-10:00:00,10:00:00-10:30:00,10:30:00-11:00:00,11:00:00-11:30:00,13:00:00-13:30:00,13:30:00-14:00:00,14:00:00-14:30:00,14:30:00-15:00:00"
71,CFFEX,IO,沪深300指数期权,沪深300指数期权,股票指数,0.12,"09:31:00-11:29:00,13:01:00-14:59:00","09:30:00-11:30:00,13:00:00-15:00:00",0.1,0.11,0.1,0.11,0.1,0.11,100,0.2,0,0,30,0,30,11,"09:30:00-10:00:00,10:00:00-10:30:00,10:30:00-11:00:00,11:00:00-11:30:00,13:00:00-13:30:00,13:30:00-14:00:00,14:00:00-14:30:00,14:30:00-15:00:00"
72,CFFEX,TS,二债,2年期国债,国债,0.005,"09:16:00-11:29:00,13:01:00-15:14:00","09:15:00-11:30:00,13:00:00-15:15:00",0.005,0.005,0.005,0.005,0.005,0.005,20000,0.005,0,0,6,0,0,-24,"09:15:00-09:45:00,09:45:00-10:15:00,10:15:00-10:45:00,10:45:00-11:15:00,11:15:00-13:15:00,13:15:00-13:45:00,13:45:00-14:15:00,14:15:00-14:45:00,14:45:00-15:15:00"
73,CFFEX,TF,五债,5年期国债,国债,0.012,"09:16:00-11:29:00,13:01:00-15:14:00","09:15:00-11:30:00,13:00:00-15:15:00",0.012,0.012,0.012,0.012,0.012,0.012,10000,0.005,0,0,6,0,0,-24,"09:15:00-09:45:00,09:45:00-10:15:00,10:15:00-10:45:00,10:45:00-11:15:00,11:15:00-13:15:00,13:15:00-13:45:00,13:45:00-14:15:00,14:15:00-14:45:00,14:45:00-15:15:00"
74,CFFEX,T,十债,10年期国债,国债,0.02,"09:16:00-11:29:00,13:01:00-15:14:00","09:15:00-11:30:00,13:00:00-15:15:00",0.02,0.02,0.02,0.02,0.02,0.02,10000,0.005,0,0,6,0,0,-24,"09:15:00-09:45:00,09:45:00-10:15:00,10:15:00-10:45:00,10:45:00-11:15:00,11:15:00-13:15:00,13:15:00-13:45:00,13:45:00-14:15:00,14:15:00-14:45:00,14:45:00-15:15:00"
75,CFFEX,TL,三十债,30年期国债,国债,0.035,"09:16:00-11:29:00,13:01:00-15:14:00","09:15:00-11:30:00,13:00:00-15:15:00",0.035,0.035,0.035,0.035,0.035,0.035,10000,0.01,0,0,6,0,0,-24,"09:15:00-09:45:00,09:45:00-10:15:00,10:15:00-10:45:00,10:45:00-11:15:00,11:15:00-13:15:00,13:15:00-13:45:00,13:45:00-14:15:00,14:15:00-14:45:00,14:45:00-15:15:00"
76,INE,SC,原油,原油,能源,0.1,"21:01:00-23:59:00,00:00:00-02:29:00,09:01:00-10:14:00,10:31:00-11:29:00,13:31:00-14:59:00","21:00:00-23:59:59,00:00:00-02:30:00,09:00:00-10:15:00,10:30:00-11:30:00,13:30:00-15:00:00",0.08,0.13,0.11,0.15,0.13,0.15,1000,0.1,0,0,40,0,0,-30,"21:00:00-21:30:00,21:30:00-22:00:00,22:00:00-22:30:00,22:30:00-23:00:00,23:00:00-23:30:00,23:30:00-23:59:59,00:00:00-00:30:00,00:30:00-01:00:00,01:00:00-01:30:00,01:30:00-02:00:00,02:00:00-02:30:00,09:00:00-09:30:00,09:30:00-10:00:00,10:00:00-10:45:00,10:45:00-11:15:00,11:15:00-13:45:00,13:45:00-14:15:00,14:15:00-14:45:00,14:45:00-15:00:00"
77,INE,NR,20号胶,20号胶,其他,0.1,"21:01:00-22:59:00,09:01:00-10:14:00,10:31:00-11:29:00,13:31:00-14:59:00","21:00:00-23:00:00,09:00:00-10:15:00,10:30:00-11:30:00,13:30:00-15:00:00",0.08,0.13,0.11,0.15,0.13,0.15,10,5,1,0.00004,0,0,0,-40,"21:00:00-21:30:00,21:30:00-22:00:00,22:00:00-22:30:00,22:30:00-23:00:00,09:00:00-09:30:00,09:30:00-10:00:00,10:00:00-10:45:00,10:45:00-11:15:00,11:15:00-13:45:00,13:45:00-14:15:00,14:15:00-14:45:00,14:45:00-15:00:00"
78,INE,LU,低硫燃油,低硫燃料油,能源,0.1,"21:01:00-22:59:00,09:01:00-10:14:00,10:31:00-11:29:00,13:31:00-14:59:00","21:00:00-23:00:00,09:00:00-10:15:00,10:30:00-11:30:00,13:30:00-15:00:00",0.08,0.13,0.11,0.15,0.13,0.15,10,1,1,0.00002,0,0.00002,0,-40,"21:00:00-21:30:00,21:30:00-22:00:00,22:00:00-22:30:00,22:30:00-23:00:00,09:00:00-09:30:00,09:30:00-10:00:00,10:00:00-10:45:00,10:45:00-11:15:00,11:15:00-13:45:00,13:45:00-14:15:00,14:15:00-14:45:00,14:45:00-15:00:00"
79,INE,BC,国际铜,国际铜,有色,0.09,"21:01:00-23:59:00,00:00:00-00:59:00,09:01:00-10:14:00,10:31:00-11:29:00,13:31:00-14:59:00","21:00:00-23:59:59,00:00:00-01:00:00,09:00:00-10:15:00,10:30:00-11:30:00,13:30:00-15:00:00",0.07,0.12,0.1,0.14,0.12,0.14,5,10,1,0.00002,0,0,0,-30,"21:00:00-21:30:00,21:30:00-22:00:00,22:00:00-22:30:00,22:30:00-23:00:00,23:00:00-23:30:00,23:30:00-23:59:59,00:00:00-00:30:00,00:30:00-01:00:00,09:00:00-09:30:00,09:30:00-10:00:00,10:00:00-10:45:00,10:45:00-11:15:00,11:15:00-13:45:00,13:45:00-14:15:00,14:15:00-14:45:00,14:45:00-15:00:00"
80,INE,EC,集运欧线,SCFIS欧线,航运指数,0.12,"09:01:00-10:14:00,10:31:00-11:29:00,13:31:00-14:59:00","09:00:00-10:15:00,10:30:00-11:30:00,13:30:00-15:00:00",0.1,0.14,0.12,0.16,0.15,0.16,50,0.1,1,0.00005,0,0.00005,0,-40,"09:00:00-09:30:00,09:30:00-10:00:00,10:00:00-10:45:00,10:45:00-11:15:00,11:15:00-13:45:00,13:45:00-14:15:00,14:15:00-14:45:00,14:45:00-15:00:00"
81,GFEX,SI,工业硅,工业硅,其他,0.09,"09:01:00-10:14:00,10:31:00-11:29:00,13:31:00-14:59:00","09:00:00-10:15:00,10:30:00-11:30:00,13:30:00-15:00:00",0.07,0.12,0.1,0.14,0.12,0.14,5,5,1,0.0002,0,0,0,-40,"09:00:00-09:30:00,09:30:00-10:00:00,10:00:00-10:45:00,10:45:00-11:15:00,11:15:00-13:45:00,13:45:00-14:15:00,14:15:00-14:45:00,14:45:00-15:00:00"
82,GFEX,LC,碳酸锂,碳酸锂,其他,0.09,"09:01:00-10:14:00,10:31:00-11:29:00,13:31:00-14:59:00","09:00:00-10:15:00,10:30:00-11:30:00,13:30:00-15:00:00",0.07,0.12,0.1,0.14,0.12,0.14,1,50,1,0.0002,0,0,0,-40,"09:00:00-09:30:00,09:30:00-10:00:00,10:00:00-10:45:00,10:45:00-11:15:00,11:15:00-13:45:00,13:45:00-14:15:00,14:15:00-14:45:00,14:45:00-15:00:00"